locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLHBOIPB_00071	CDS	1710				hypothetical protein
GLHBOIPB_00072	CDS	1392	xanP		COG2233	Xanthine permease XanP
GLHBOIPB_00073	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
GLHBOIPB_00074	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
GLHBOIPB_00075	CDS	657	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
GLHBOIPB_00076	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
GLHBOIPB_00077	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
GLHBOIPB_00078	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
GLHBOIPB_00079	CDS	1683	ligB	6.5.1.2	COG0272	DNA ligase B
GLHBOIPB_00080	CDS	618				hypothetical protein
GLHBOIPB_00081	CDS	825				hypothetical protein
GLHBOIPB_00082	CDS	864				hypothetical protein
GLHBOIPB_00083	CDS	717	rph	2.7.7.56		Ribonuclease PH
GLHBOIPB_00084	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
GLHBOIPB_00085	CDS	597	slmA			Nucleoid occlusion factor SlmA
GLHBOIPB_00086	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
GLHBOIPB_00087	CDS	1221	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
GLHBOIPB_00088	CDS	669				hypothetical protein
GLHBOIPB_00089	CDS	237	rpmB		COG0227	50S ribosomal protein L28
GLHBOIPB_00090	CDS	168	rpmG		COG0267	50S ribosomal protein L33
GLHBOIPB_00091	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
GLHBOIPB_00092	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
GLHBOIPB_00093	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
GLHBOIPB_00094	CDS	1059	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
GLHBOIPB_00095	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
GLHBOIPB_00096	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
GLHBOIPB_00097	CDS	1017				hypothetical protein
GLHBOIPB_00098	CDS	996				hypothetical protein
GLHBOIPB_00099	CDS	693	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
GLHBOIPB_00100	CDS	1029	gspA_1		COG1442	General stress protein A
GLHBOIPB_00101	CDS	984	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GLHBOIPB_00102	CDS	1254	rfaL			O-antigen ligase
GLHBOIPB_00103	CDS	981	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
GLHBOIPB_00104	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
GLHBOIPB_00105	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
GLHBOIPB_00106	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
GLHBOIPB_00107	CDS	1026	tdh_1	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
GLHBOIPB_00108	CDS	1035	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GLHBOIPB_00109	CDS	960			COG2861	putative protein
GLHBOIPB_00110	CDS	1260	envC		COG4942	Murein hydrolase activator EnvC
GLHBOIPB_00111	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
GLHBOIPB_00112	CDS	432	yibN		COG0607	putative protein YibN
GLHBOIPB_00113	CDS	252	grxC		COG0695	Glutaredoxin 3
GLHBOIPB_00114	CDS	468	secB		COG1952	Protein-export protein SecB
GLHBOIPB_00115	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
GLHBOIPB_00116	CDS	822	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
GLHBOIPB_00117	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
GLHBOIPB_00118	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
GLHBOIPB_00119	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
GLHBOIPB_00120	CDS	1656	lldP		COG1620	L-lactate permease
GLHBOIPB_00121	CDS	5337	upaG			Autotransporter adhesin UpaG
GLHBOIPB_00122	CDS	684	sadB			Inner membrane lipoprotein SadB
GLHBOIPB_00123	CDS	363	yibL			putative protein YibL
GLHBOIPB_00124	CDS	210				hypothetical protein
GLHBOIPB_00125	CDS	588	mtlR		COG3722	Mannitol operon repressor
GLHBOIPB_00126	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
GLHBOIPB_00127	CDS	1914	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
GLHBOIPB_00128	CDS	363	yiaW			Inner membrane protein YiaW
GLHBOIPB_00129	CDS	1137	yibH		COG1566	Inner membrane protein YibH
GLHBOIPB_00130	CDS	609	yibF		COG0625	putative GST-like protein YibF
GLHBOIPB_00131	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
GLHBOIPB_00132	CDS	1845	selB		COG3276	Selenocysteine-specific elongation factor
GLHBOIPB_00133	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
GLHBOIPB_00134	CDS	1296				hypothetical protein
GLHBOIPB_00135	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
GLHBOIPB_00136	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
GLHBOIPB_00137	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
GLHBOIPB_00138	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
GLHBOIPB_00139	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
GLHBOIPB_00140	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
GLHBOIPB_00141	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
GLHBOIPB_00142	CDS	468	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
GLHBOIPB_00143	CDS	921	yiaX1			putative protein YiaX1
GLHBOIPB_00144	CDS	465			COG2731	putative protein
GLHBOIPB_00145	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
GLHBOIPB_00146	CDS	849	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
GLHBOIPB_00147	CDS	474	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
GLHBOIPB_00148	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
GLHBOIPB_00149	CDS	2031	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
GLHBOIPB_00150	CDS	825				hypothetical protein
GLHBOIPB_00151	CDS	1179	xylR			Xylose operon regulatory protein
GLHBOIPB_00152	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
GLHBOIPB_00153	CDS	1542	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
GLHBOIPB_00154	CDS	993	xylF		COG4213	D-xylose-binding periplasmic protein
GLHBOIPB_00155	CDS	1323	xylA	5.3.1.5		Xylose isomerase
GLHBOIPB_00156	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
GLHBOIPB_00157	CDS	342	yiaB		COG4682	Inner membrane protein YiaB
GLHBOIPB_00158	CDS	438	yiaA		COG4682	Inner membrane protein YiaA
GLHBOIPB_00159	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
GLHBOIPB_00160	CDS	300				hypothetical protein
GLHBOIPB_00161	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
GLHBOIPB_00162	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
GLHBOIPB_00163	CDS	522				IS3 family transposase IS103
GLHBOIPB_00164	CDS	852				IS3 family transposase IS150
GLHBOIPB_00165	CDS	213				hypothetical protein
GLHBOIPB_00166	CDS	213	cspA		COG1278	Cold shock protein CspA
GLHBOIPB_00167	CDS	291				hypothetical protein
GLHBOIPB_00168	CDS	711				hypothetical protein
GLHBOIPB_00169	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
GLHBOIPB_00170	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
GLHBOIPB_00171	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
GLHBOIPB_00172	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
GLHBOIPB_00173	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
GLHBOIPB_00174	CDS	699				hypothetical protein
GLHBOIPB_00175	CDS	1209	yhjX			putative MFS-type transporter YhjX
GLHBOIPB_00176	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
GLHBOIPB_00177	tRNA	77				tRNA-Pro(cgg)
GLHBOIPB_00178	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
GLHBOIPB_00179	CDS	228				hypothetical protein
GLHBOIPB_00180	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
GLHBOIPB_00181	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
GLHBOIPB_00182	CDS	984	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
GLHBOIPB_00183	CDS	1005	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
GLHBOIPB_00184	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
GLHBOIPB_00185	CDS	108	ldrD_1			Small toxic polypeptide LdrD
GLHBOIPB_00186	CDS	108	ldrD_2			Small toxic polypeptide LdrD
GLHBOIPB_00187	CDS	1257	bcsG_1			Cellulose biosynthesis protein BcsG
GLHBOIPB_00188	CDS	387	bcsG_2			Cellulose biosynthesis protein BcsG
GLHBOIPB_00189	CDS	192				hypothetical protein
GLHBOIPB_00190	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
GLHBOIPB_00191	CDS	189	yhjR			Protein YhjR
GLHBOIPB_00192	CDS	144	bcsQ_1			Cellulose biosynthesis protein BcsQ
GLHBOIPB_00193	CDS	657	bcsQ_2			Cellulose biosynthesis protein BcsQ
GLHBOIPB_00194	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
GLHBOIPB_00195	CDS	2310	bcsB			Cyclic di-GMP-binding protein
GLHBOIPB_00196	CDS	1107	bcsZ	3.2.1.4	COG3405	Endoglucanase
GLHBOIPB_00197	CDS	3474	bcsC		COG0457	Cellulose synthase operon protein C
GLHBOIPB_00198	CDS	1950	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
GLHBOIPB_00199	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
GLHBOIPB_00200	CDS	1497	yhjJ		COG0612	Protein YhjJ
GLHBOIPB_00201	CDS	930	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
GLHBOIPB_00202	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
GLHBOIPB_00203	CDS	2061				hypothetical protein
GLHBOIPB_00204	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
GLHBOIPB_00205	CDS	1014	yhjD		COG1295	Inner membrane protein YhjD
GLHBOIPB_00206	CDS	972	dmlR_1			HTH-type transcriptional regulator DmlR
GLHBOIPB_00207	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
GLHBOIPB_00208	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
GLHBOIPB_00209	CDS	1398				hypothetical protein
GLHBOIPB_00210	CDS	1293	gadB_1	4.1.1.15	COG0076	Glutamate decarboxylase beta
GLHBOIPB_00211	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
GLHBOIPB_00212	CDS	729	gadW			HTH-type transcriptional regulator GadW
GLHBOIPB_00213	CDS	282				hypothetical protein
GLHBOIPB_00214	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
GLHBOIPB_00215	CDS	1158	mdtE			Multidrug resistance protein MdtE
GLHBOIPB_00216	CDS	330				hypothetical protein
GLHBOIPB_00217	CDS	528	gadE			Transcriptional regulator GadE
GLHBOIPB_00218	CDS	573	hdeD		COG3247	Protein HdeD
GLHBOIPB_00219	CDS	333	hdeA			Acid stress chaperone HdeA
GLHBOIPB_00220	CDS	339	hdeB			Acid stress chaperone HdeB
GLHBOIPB_00221	CDS	576	sapB_1		COG1285	Protein SapB
GLHBOIPB_00222	CDS	771	hmuV	3.6.3.-		Hemin import ATP-binding protein HmuV
GLHBOIPB_00223	CDS	957	hmuU_1		COG0609	Hemin transport system permease protein HmuU
GLHBOIPB_00224	CDS	624				hypothetical protein
GLHBOIPB_00225	CDS	495	hutX		COG3721	Intracellular heme transport protein HutX
GLHBOIPB_00226	CDS	1338	chuW	2.1.1.342		Anaerobilin synthase
GLHBOIPB_00227	CDS	915	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
GLHBOIPB_00228	CDS	1983	hemR_1		COG1629	Hemin receptor
GLHBOIPB_00229	CDS	1029	hemS		COG3720	Hemin transport protein HemS
GLHBOIPB_00230	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
GLHBOIPB_00231	CDS	567	slp_1		COG3065	Outer membrane protein Slp
GLHBOIPB_00232	CDS	174				hypothetical protein
GLHBOIPB_00233	CDS	426	arsC	1.20.4.1		Arsenate reductase
GLHBOIPB_00234	CDS	216				hypothetical protein
GLHBOIPB_00235	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
GLHBOIPB_00236	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
GLHBOIPB_00237	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
GLHBOIPB_00238	CDS	795	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
GLHBOIPB_00239	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
GLHBOIPB_00240	CDS	435	uspA		COG0589	Universal stress protein A
GLHBOIPB_00241	CDS	336	uspB			Universal stress protein B
GLHBOIPB_00242	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
GLHBOIPB_00243	CDS	1194			COG2081	putative protein
GLHBOIPB_00244	CDS	1065	yhiM			Inner membrane protein YhiM
GLHBOIPB_00245	CDS	1068				hypothetical protein
GLHBOIPB_00246	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
GLHBOIPB_00247	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
GLHBOIPB_00248	CDS	852	kbaY_2	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
GLHBOIPB_00249	CDS	270	ptsH_1		COG1925	Phosphocarrier protein HPr
GLHBOIPB_00250	CDS	1509	xylB_2	2.7.1.17		Xylulose kinase
GLHBOIPB_00251	CDS	1359	gatC_1		COG3775	PTS system galactitol-specific EIIC component
GLHBOIPB_00252	CDS	282	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
GLHBOIPB_00253	CDS	474				hypothetical protein
GLHBOIPB_00254	CDS	747	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
GLHBOIPB_00255	CDS	402	nikR		COG0864	Nickel-responsive regulator
GLHBOIPB_00256	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
GLHBOIPB_00257	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
GLHBOIPB_00258	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
GLHBOIPB_00259	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
GLHBOIPB_00260	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
GLHBOIPB_00261	CDS	588				hypothetical protein
GLHBOIPB_00262	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
GLHBOIPB_00263	CDS	1260	yhhS			putative MFS-type transporter YhhS
GLHBOIPB_00264	CDS	558				hypothetical protein
GLHBOIPB_00265	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
GLHBOIPB_00266	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
GLHBOIPB_00267	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
GLHBOIPB_00268	CDS	627				hypothetical protein
GLHBOIPB_00269	CDS	360				hypothetical protein
GLHBOIPB_00270	CDS	270				hypothetical protein
GLHBOIPB_00271	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
GLHBOIPB_00272	CDS	1497	ftsY		COG0552	Signal recognition particle receptor FtsY
GLHBOIPB_00273	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
GLHBOIPB_00274	CDS	1059	ftsX		COG2177	Cell division protein FtsX
GLHBOIPB_00275	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
GLHBOIPB_00276	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
GLHBOIPB_00277	CDS	384	panZ			PanD regulatory factor
GLHBOIPB_00278	CDS	1110	livK		COG0683	Leucine-specific-binding protein
GLHBOIPB_00279	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
GLHBOIPB_00280	CDS	1278				hypothetical protein
GLHBOIPB_00281	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
GLHBOIPB_00282	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
GLHBOIPB_00283	CDS	1317	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
GLHBOIPB_00284	CDS	888	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
GLHBOIPB_00285	CDS	846	lacG			Lactose transport system permease protein LacG
GLHBOIPB_00286	CDS	1071	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
GLHBOIPB_00287	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
GLHBOIPB_00288	CDS	441	yhhA			putative protein YhhA
GLHBOIPB_00289	CDS	1734	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
GLHBOIPB_00290	CDS	285				hypothetical protein
GLHBOIPB_00291	CDS	495				hypothetical protein
GLHBOIPB_00292	CDS	1179				hypothetical protein
GLHBOIPB_00293	CDS	174	aaaT_1	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
GLHBOIPB_00294	CDS	303	aaaT_2	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
GLHBOIPB_00295	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
GLHBOIPB_00296	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
GLHBOIPB_00297	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
GLHBOIPB_00298	CDS	528	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
GLHBOIPB_00299	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
GLHBOIPB_00300	CDS	2100	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
GLHBOIPB_00301	CDS	1203				hypothetical protein
GLHBOIPB_00302	CDS	594				hypothetical protein
GLHBOIPB_00303	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
GLHBOIPB_00304	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
GLHBOIPB_00305	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
GLHBOIPB_00306	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
GLHBOIPB_00307	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
GLHBOIPB_00308	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
GLHBOIPB_00309	CDS	705				hypothetical protein
GLHBOIPB_00310	CDS	753	fimC_1			Chaperone protein FimC
GLHBOIPB_00311	CDS	2595	elfC		COG3188	putative outer membrane usher protein ElfC
GLHBOIPB_00312	CDS	564	lpfA_1			putative major fimbrial subunit LpfA
GLHBOIPB_00313	CDS	573	ycbV		COG3539	putative fimbrial-like protein YcbV
GLHBOIPB_00314	CDS	777	ycbF		COG3121	putative fimbrial chaperone YcbF
GLHBOIPB_00315	CDS	1131				hypothetical protein
GLHBOIPB_00316	CDS	711				hypothetical protein
GLHBOIPB_00317	CDS	768				hypothetical protein
GLHBOIPB_00318	CDS	606				hypothetical protein
GLHBOIPB_00319	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
GLHBOIPB_00320	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
GLHBOIPB_00321	CDS	825	glpG_1	3.4.21.105	COG0705	Rhomboid protease GlpG
GLHBOIPB_00322	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
GLHBOIPB_00323	CDS	1599	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
GLHBOIPB_00324	CDS	1227	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
GLHBOIPB_00325	CDS	1017	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
GLHBOIPB_00326	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
GLHBOIPB_00327	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
