locus_tag	ftype	length_bp	gene	EC_number	COG	product
IEKICEID_00038	CDS	2151	yccS		COG1289	Inner membrane protein YccS
IEKICEID_00039	CDS	2052	helD	3.6.4.12	COG0210	DNA helicase IV
IEKICEID_00040	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
IEKICEID_00041	CDS	414	yccU		COG1832	putative protein YccU
IEKICEID_00042	CDS	321	hspQ		COG3785	Heat shock protein HspQ
IEKICEID_00043	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
IEKICEID_00044	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
IEKICEID_00045	tRNA	88				tRNA-Ser(tga)
IEKICEID_00046	CDS	363				hypothetical protein
IEKICEID_00047	CDS	393				hypothetical protein
IEKICEID_00048	CDS	864				hypothetical protein
IEKICEID_00049	CDS	735	pagN_1		COG3637	Outer membrane protein PagN
IEKICEID_00050	CDS	837				hypothetical protein
IEKICEID_00051	CDS	426	klcA_1			Antirestriction protein KlcA
IEKICEID_00052	CDS	873	era_1			GTPase Era
IEKICEID_00053	CDS	504				hypothetical protein
IEKICEID_00054	CDS	315				hypothetical protein
IEKICEID_00055	CDS	1311				hypothetical protein
IEKICEID_00056	CDS	534				IS256 family transposase ISEc39
IEKICEID_00057	CDS	177				hypothetical protein
IEKICEID_00058	CDS	267				IS3 family transposase ISKpn20
IEKICEID_00059	CDS	729				IS3 family transposase ISKpn20
IEKICEID_00060	CDS	234				hypothetical protein
IEKICEID_00061	CDS	132				hypothetical protein
IEKICEID_00062	CDS	108				hypothetical protein
IEKICEID_00063	CDS	516	blc		COG3040	Outer membrane lipoprotein Blc
IEKICEID_00064	CDS	837				hypothetical protein
IEKICEID_00065	CDS	426	klcA_2			Antirestriction protein KlcA
IEKICEID_00066	CDS	873	era_2			GTPase Era
IEKICEID_00067	CDS	489				hypothetical protein
IEKICEID_00068	CDS	693				hypothetical protein
IEKICEID_00069	CDS	1554				hypothetical protein
IEKICEID_00070	CDS	1236				hypothetical protein
IEKICEID_00071	CDS	693	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IEKICEID_00072	CDS	1998				hypothetical protein
IEKICEID_00073	CDS	999				hypothetical protein
IEKICEID_00074	CDS	2724				hypothetical protein
IEKICEID_00075	CDS	2994				hypothetical protein
IEKICEID_00076	CDS	1428				hypothetical protein
IEKICEID_00077	CDS	276			COG1662	IS1 family transposase ISPmi3
IEKICEID_00078	CDS	1407				hypothetical protein
IEKICEID_00079	CDS	192				hypothetical protein
IEKICEID_00080	CDS	591				IS3 family transposase ISEc36
IEKICEID_00081	CDS	924				hypothetical protein
IEKICEID_00082	CDS	2430				hypothetical protein
IEKICEID_00083	CDS	1278				hypothetical protein
IEKICEID_00084	CDS	564				hypothetical protein
IEKICEID_00085	CDS	1377				hypothetical protein
IEKICEID_00086	CDS	1950				hypothetical protein
IEKICEID_00087	CDS	3042				hypothetical protein
IEKICEID_00088	CDS	1086				hypothetical protein
IEKICEID_00089	CDS	552				hypothetical protein
IEKICEID_00090	CDS	174				hypothetical protein
IEKICEID_00091	CDS	369				hypothetical protein
IEKICEID_00092	CDS	1155				hypothetical protein
IEKICEID_00093	CDS	1191				hypothetical protein
IEKICEID_00094	CDS	714				hypothetical protein
IEKICEID_00095	CDS	222				hypothetical protein
IEKICEID_00096	CDS	219				hypothetical protein
IEKICEID_00097	CDS	372				hypothetical protein
IEKICEID_00098	CDS	330				hypothetical protein
IEKICEID_00099	CDS	1770				hypothetical protein
IEKICEID_00100	CDS	210				hypothetical protein
IEKICEID_00101	CDS	1500				hypothetical protein
IEKICEID_00102	CDS	672				hypothetical protein
IEKICEID_00103	CDS	336	csaA_1		COG0073	putative chaperone CsaA
IEKICEID_00104	CDS	315				hypothetical protein
IEKICEID_00105	CDS	132				hypothetical protein
IEKICEID_00106	CDS	261				hypothetical protein
IEKICEID_00107	CDS	699	idnD	1.1.1.264	COG1063	L-idonate 5-dehydrogenase (NAD(P)(+))
IEKICEID_00108	CDS	738				IS6 family transposase IS1635
IEKICEID_00109	CDS	558				hypothetical protein
IEKICEID_00110	CDS	1182	ybjJ_1			Inner membrane protein YbjJ
IEKICEID_00111	CDS	759	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
IEKICEID_00112	CDS	2433	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
IEKICEID_00113	CDS	627	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
IEKICEID_00114	CDS	774				hypothetical protein
IEKICEID_00115	CDS	333				hypothetical protein
IEKICEID_00116	CDS	1350	dinF		COG0534	DNA damage-inducible protein F
IEKICEID_00117	CDS	432	petE			Plastocyanin
IEKICEID_00118	CDS	765	fpuC	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuC
IEKICEID_00119	CDS	1017	hmuU_1		COG0609	Hemin transport system permease protein HmuU
IEKICEID_00120	CDS	1017	btuF_1			Vitamin B12-binding protein
IEKICEID_00121	CDS	549	petA	7.1.1.8	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
IEKICEID_00122	CDS	1206	fbcH_1		COG1290	Cytochrome b/c1
IEKICEID_00123	CDS	861	fbcH_2		COG1290	Cytochrome b/c1
IEKICEID_00124	CDS	1647	phoA_1	3.1.3.1	COG1785	Alkaline phosphatase 4
IEKICEID_00125	CDS	1170				hypothetical protein
IEKICEID_00126	CDS	951				hypothetical protein
IEKICEID_00127	CDS	2334				hypothetical protein
IEKICEID_00128	CDS	726				hypothetical protein
IEKICEID_00129	CDS	474				hypothetical protein
IEKICEID_00130	CDS	717	yurK		COG2188	putative HTH-type transcriptional regulator YurK
IEKICEID_00131	CDS	975	frlB	3.5.-.-	COG2222	Fructosamine deglycase FrlB
IEKICEID_00132	CDS	846	frlD	2.7.1.-	COG0524	Fructosamine kinase FrlD
IEKICEID_00133	CDS	1320	dcuA_1		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
IEKICEID_00134	CDS	762	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
IEKICEID_00135	CDS	987	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
IEKICEID_00136	CDS	1248	dtnK	2.7.1.219	COG3395	D-threonate kinase
IEKICEID_00137	CDS	1149	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
IEKICEID_00138	CDS	885	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IEKICEID_00139	CDS	951		1.1.1.81	COG0111	Hydroxypyruvate reductase
IEKICEID_00140	CDS	1278	dgoT_1			D-galactonate transporter
IEKICEID_00141	CDS	852	ddpD		COG0444	putative D,D-dipeptide transport ATP-binding protein DdpD
IEKICEID_00142	CDS	816	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
IEKICEID_00143	CDS	1533	sgrR_1			HTH-type transcriptional regulator SgrR
IEKICEID_00144	CDS	1776				hypothetical protein
IEKICEID_00145	CDS	90				hypothetical protein
IEKICEID_00146	CDS	1194	intA_1		COG0582	Prophage integrase IntA
IEKICEID_00147	CDS	129				hypothetical protein
IEKICEID_00148	CDS	369			COG0789	putative HTH-type transcriptional regulator
IEKICEID_00149	CDS	783	sadH	1.-.-.-		Putative oxidoreductase SadH
IEKICEID_00150	CDS	684				hypothetical protein
IEKICEID_00151	CDS	279	yjdJ		COG2388	putative protein YjdJ
IEKICEID_00152	CDS	894				hypothetical protein
IEKICEID_00153	CDS	759				hypothetical protein
IEKICEID_00154	CDS	429	mopA		COG2005	Molybdenum-pterin-binding protein MopA
IEKICEID_00155	CDS	693	yeiL		COG0664	Regulatory protein YeiL
IEKICEID_00156	CDS	1026	add_1	3.5.4.4	COG1816	Adenosine deaminase
IEKICEID_00157	CDS	444				hypothetical protein
IEKICEID_00158	CDS	291				hypothetical protein
IEKICEID_00159	CDS	579	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
IEKICEID_00160	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
IEKICEID_00161	CDS	900	dmlR_1			HTH-type transcriptional regulator DmlR
IEKICEID_00162	CDS	582				hypothetical protein
IEKICEID_00163	CDS	537	yyaP		COG0262	putative protein YyaP
IEKICEID_00164	CDS	324				hypothetical protein
IEKICEID_00165	CDS	588	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
IEKICEID_00166	CDS	2412	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
IEKICEID_00167	CDS	888	fdnH_1		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
IEKICEID_00168	CDS	657	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
IEKICEID_00169	CDS	567		2.3.1.-	COG1670	Acetyltransferase
IEKICEID_00170	CDS	441	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
IEKICEID_00171	CDS	1254	agp	3.1.3.10		Glucose-1-phosphatase
IEKICEID_00172	CDS	477				hypothetical protein
IEKICEID_00173	CDS	438	uspF_1		COG0589	Universal stress protein F
IEKICEID_00174	CDS	570	esiB_1			Secretory immunoglobulin A-binding protein EsiB
IEKICEID_00175	CDS	408				hypothetical protein
IEKICEID_00176	CDS	357				hypothetical protein
IEKICEID_00177	CDS	1419	dadA_1	1.4.99.-		D-amino acid dehydrogenase
IEKICEID_00178	CDS	789	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
IEKICEID_00179	CDS	1530	dtpT		COG3104	Di-/tripeptide transporter
IEKICEID_00180	CDS	1227	sbnD			Staphyloferrin B transporter
IEKICEID_00181	CDS	945	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
IEKICEID_00182	CDS	597	ttrR		COG4566	Tetrathionate response regulatory protein TtrR
IEKICEID_00183	CDS	1758	ttrS	2.7.13.3	COG0642	Tetrathionate sensor histidine kinase TtrS
IEKICEID_00184	CDS	738	ttrB		COG0437	Tetrathionate reductase subunit B
IEKICEID_00185	CDS	1029	ttrC			Tetrathionate reductase subunit C
IEKICEID_00186	CDS	3075	ttrA	1.8.-.-	COG0243	Tetrathionate reductase subunit A
IEKICEID_00187	CDS	1002				hypothetical protein
IEKICEID_00188	CDS	636				hypothetical protein
IEKICEID_00189	CDS	858	pse4	3.5.2.6		Beta-lactamase PSE-4
IEKICEID_00190	CDS	1047				hypothetical protein
IEKICEID_00191	CDS	594	rcsA		COG2771	Transcriptional regulatory protein RcsA
IEKICEID_00192	CDS	255	bssS			Biofilm regulator BssS
IEKICEID_00193	CDS	1050	pyrC	3.5.2.3	COG0418	Dihydroorotase
IEKICEID_00194	tRNA	76				tRNA-Asn(gtt)
IEKICEID_00195	CDS	444				hypothetical protein
IEKICEID_00196	CDS	774	viuB_1		COG2375	Vibriobactin utilization protein ViuB
IEKICEID_00197	CDS	1425	ttgI			Toluene efflux pump outer membrane protein TtgI
IEKICEID_00198	CDS	1059	emrA_1			Colistin resistance protein EmrA
IEKICEID_00199	CDS	1542	farB			Fatty acid resistance protein FarB
IEKICEID_00200	CDS	903	nodD2			Nodulation protein D 2
IEKICEID_00201	tRNA	76				tRNA-Asn(gtt)
IEKICEID_00202	tRNA	76				tRNA-Asn(gtt)
IEKICEID_00203	CDS	504	ylaC			Inner membrane protein YlaC
IEKICEID_00204	CDS	213	cspC			Cold shock-like protein CspC
IEKICEID_00205	CDS	144	dsrB			Protein DsrB
IEKICEID_00206	CDS	699	mgtC		COG1285	Protein MgtC
IEKICEID_00207	CDS	2703	mgtB	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
IEKICEID_00208	CDS	312				hypothetical protein
IEKICEID_00209	CDS	519	fliZ			Regulator of sigma S factor FliZ
IEKICEID_00210	CDS	3984	putA		COG0506	Bifunctional protein PutA
IEKICEID_00211	CDS	1485	putP_1		COG0591	Sodium/proline symporter
IEKICEID_00212	CDS	1401	cycA		COG1113	D-serine/D-alanine/glycine transporter
IEKICEID_00213	tRNA	76				tRNA-Lys(ctt)
IEKICEID_00214	CDS	1677				hypothetical protein
IEKICEID_00215	CDS	567				hypothetical protein
IEKICEID_00216	CDS	777				hypothetical protein
IEKICEID_00217	CDS	666				hypothetical protein
IEKICEID_00218	CDS	1944				hypothetical protein
IEKICEID_00219	CDS	618				hypothetical protein
IEKICEID_00220	CDS	1191				hypothetical protein
IEKICEID_00221	CDS	336				hypothetical protein
IEKICEID_00222	CDS	2100				hypothetical protein
IEKICEID_00223	CDS	264				hypothetical protein
IEKICEID_00224	CDS	378				hypothetical protein
IEKICEID_00225	CDS	333				hypothetical protein
IEKICEID_00226	CDS	294				hypothetical protein
IEKICEID_00227	CDS	456				hypothetical protein
IEKICEID_00228	CDS	1119				hypothetical protein
IEKICEID_00229	CDS	699				hypothetical protein
IEKICEID_00230	CDS	480				hypothetical protein
IEKICEID_00231	CDS	453				hypothetical protein
IEKICEID_00232	CDS	225				hypothetical protein
IEKICEID_00233	CDS	708				hypothetical protein
IEKICEID_00234	CDS	1026				hypothetical protein
IEKICEID_00235	CDS	846				hypothetical protein
IEKICEID_00236	CDS	1788				hypothetical protein
IEKICEID_00237	CDS	1032				hypothetical protein
IEKICEID_00238	CDS	318				hypothetical protein
IEKICEID_00239	CDS	222				hypothetical protein
IEKICEID_00240	CDS	372				hypothetical protein
IEKICEID_00241	CDS	2166				hypothetical protein
IEKICEID_00242	CDS	339				hypothetical protein
IEKICEID_00243	CDS	243				hypothetical protein
IEKICEID_00244	CDS	351				hypothetical protein
IEKICEID_00245	CDS	156				hypothetical protein
IEKICEID_00246	CDS	258				hypothetical protein
IEKICEID_00247	CDS	510				hypothetical protein
IEKICEID_00248	CDS	225				hypothetical protein
IEKICEID_00249	CDS	591				hypothetical protein
IEKICEID_00250	CDS	924				hypothetical protein
IEKICEID_00251	CDS	1026	xerC_1			Tyrosine recombinase XerC
IEKICEID_00252	CDS	996				hypothetical protein
IEKICEID_00253	CDS	453	hicB		COG1598	Antitoxin HicB
IEKICEID_00254	CDS	351	flhD			Flagellar transcriptional regulator FlhD
IEKICEID_00255	CDS	591	flhC			Flagellar transcriptional regulator FlhC
IEKICEID_00256	CDS	954	motA		COG1291	Motility protein A
IEKICEID_00257	CDS	918	motB		COG1360	Motility protein B
IEKICEID_00258	CDS	2070	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
IEKICEID_00259	CDS	498	cheW		COG0835	Chemotaxis protein CheW
IEKICEID_00260	CDS	1686	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
IEKICEID_00261	CDS	1569	tap		COG0840	Methyl-accepting chemotaxis protein IV
IEKICEID_00262	CDS	837	cheR	2.1.1.80		Chemotaxis protein methyltransferase
IEKICEID_00263	CDS	1068	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
IEKICEID_00264	CDS	393	cheY		COG0784	Chemotaxis protein CheY
IEKICEID_00265	CDS	639	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
IEKICEID_00266	CDS	318				hypothetical protein
IEKICEID_00267	CDS	558				hypothetical protein
IEKICEID_00268	CDS	309	ccdB			Toxin CcdB
IEKICEID_00269	CDS	240	ccdA			Antitoxin CcdA
IEKICEID_00270	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
IEKICEID_00271	CDS	2100	flhA		COG1298	Flagellar biosynthesis protein FlhA
IEKICEID_00272	CDS	348				hypothetical protein
IEKICEID_00273	CDS	441	flgN		COG3418	Flagella synthesis protein FlgN
IEKICEID_00274	CDS	303	flgM		COG2747	Negative regulator of flagellin synthesis
IEKICEID_00275	CDS	669	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
IEKICEID_00276	CDS	414	flgB		COG1815	Flagellar basal body rod protein FlgB
IEKICEID_00277	CDS	405	flgC		COG1558	Flagellar basal-body rod protein FlgC
IEKICEID_00278	CDS	858	flgD		COG1843	Basal-body rod modification protein FlgD
IEKICEID_00279	CDS	1269	flgE		COG1749	Flagellar hook protein FlgE
IEKICEID_00280	CDS	756	flgF		COG4787	Flagellar basal-body rod protein FlgF
IEKICEID_00281	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
IEKICEID_00282	CDS	783	flgH			Flagellar L-ring protein
IEKICEID_00283	CDS	1104	flgI			Flagellar P-ring protein
IEKICEID_00284	CDS	981	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
IEKICEID_00285	CDS	1644	flgK		COG1256	Flagellar hook-associated protein 1
IEKICEID_00286	CDS	936	flgL		COG1344	Flagellar hook-associated protein 3
IEKICEID_00287	CDS	153				hypothetical protein
IEKICEID_00288	CDS	1182		1.8.98.-	COG0641	Anaerobic sulfatase-maturating enzyme
IEKICEID_00289	CDS	843				hypothetical protein
IEKICEID_00290	CDS	1179	cvaA_1		COG0845	Colicin V secretion protein CvaA
IEKICEID_00291	CDS	2148	hlyB		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
IEKICEID_00292	CDS	780	fliR		COG1684	Flagellar biosynthetic protein FliR
IEKICEID_00293	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
IEKICEID_00294	CDS	744	fliP		COG1338	Flagellar biosynthetic protein FliP
IEKICEID_00295	CDS	459				hypothetical protein
IEKICEID_00296	CDS	417	fliN		COG1886	Flagellar motor switch protein FliN
IEKICEID_00297	CDS	1008	fliM		COG1868	Flagellar motor switch protein FliM
IEKICEID_00298	CDS	480				hypothetical protein
IEKICEID_00299	CDS	1368				hypothetical protein
IEKICEID_00300	CDS	444	fliJ		COG2882	Flagellar FliJ protein
IEKICEID_00301	CDS	1365	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
IEKICEID_00302	CDS	729	fliH		COG1317	Flagellar assembly protein FliH
IEKICEID_00303	CDS	993	fliG		COG1536	Flagellar motor switch protein FliG
IEKICEID_00304	CDS	1686	fliF		COG1766	Flagellar M-ring protein
IEKICEID_00305	CDS	312	fliE		COG1677	Flagellar hook-basal body complex protein FliE
IEKICEID_00306	CDS	213	cspB_2		COG1278	Cold shock-like protein CspB
IEKICEID_00307	CDS	966	aes	3.1.1.-	COG0657	Acetyl esterase
IEKICEID_00308	CDS	132				hypothetical protein
IEKICEID_00309	CDS	477	ycdZ			Inner membrane protein YcdZ
IEKICEID_00310	CDS	501				hypothetical protein
IEKICEID_00311	CDS	903				hypothetical protein
IEKICEID_00312	CDS	510	def2	3.5.1.88	COG0242	Peptide deformylase 2
IEKICEID_00313	CDS	396	fliT			Flagellar protein FliT
IEKICEID_00314	CDS	399	fliS		COG1516	Flagellar secretion chaperone FliS
IEKICEID_00315	CDS	1443	fliD		COG1345	Flagellar hook-associated protein 2
IEKICEID_00316	CDS	1110	fliC1			Flagellin 1
IEKICEID_00317	CDS	714	fliA		COG1191	RNA polymerase sigma factor FliA
IEKICEID_00318	CDS	450				hypothetical protein
IEKICEID_00319	CDS	942	cbpA		COG2214	Curved DNA-binding protein
IEKICEID_00320	CDS	294	cbpM			Chaperone modulatory protein CbpM
IEKICEID_00321	CDS	594				hypothetical protein
IEKICEID_00322	CDS	618	eda_1		COG0800	Putative KHG/KDPG aldolase
IEKICEID_00323	CDS	945	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
IEKICEID_00324	CDS	780	kdgR_1			Pectin degradation repressor protein KdgR
IEKICEID_00325	CDS	921				hypothetical protein
IEKICEID_00326	CDS	360				hypothetical protein
IEKICEID_00327	CDS	2043	betT		COG1292	High-affinity choline transport protein
IEKICEID_00328	CDS	627	betI		COG1309	HTH-type transcriptional regulator BetI
IEKICEID_00329	CDS	1479	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
IEKICEID_00330	CDS	1680	betA	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
IEKICEID_00331	CDS	2256	btuB_1			Vitamin B12 transporter BtuB
IEKICEID_00332	CDS	348	cutA		COG1324	Divalent-cation tolerance protein CutA
IEKICEID_00333	CDS	1473	yflS		COG0471	Putative malate transporter YflS
IEKICEID_00334	CDS	207				hypothetical protein
IEKICEID_00335	CDS	108				hypothetical protein
IEKICEID_00336	CDS	873				hypothetical protein
IEKICEID_00337	CDS	321				hypothetical protein
IEKICEID_00338	CDS	1092	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
IEKICEID_00339	CDS	1317	citN		COG2851	Citrate transporter
IEKICEID_00340	CDS	819	vanW		COG2720	Vancomycin B-type resistance protein VanW
IEKICEID_00341	CDS	714				hypothetical protein
IEKICEID_00342	CDS	1140				hypothetical protein
IEKICEID_00343	CDS	1029	ybhH	5.-.-.-	COG2828	Putative isomerase YbhH
IEKICEID_00344	CDS	1434	ybhI		COG0471	Inner membrane protein YbhI
IEKICEID_00345	CDS	882	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
IEKICEID_00346	CDS	540	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
IEKICEID_00347	CDS	1527	citF_1	4.1.3.6	COG3051	Citrate lyase alpha chain
IEKICEID_00348	CDS	897	citE_1	4.1.3.6	COG2301	Citrate lyase subunit beta
IEKICEID_00349	CDS	297	citD_1		COG3052	Citrate lyase acyl carrier protein
IEKICEID_00350	CDS	1077	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
IEKICEID_00351	CDS	1629	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
IEKICEID_00352	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
IEKICEID_00353	CDS	1029	esiB_2			Secretory immunoglobulin A-binding protein EsiB
IEKICEID_00354	CDS	1467	dtpA		COG3104	Dipeptide and tripeptide permease A
IEKICEID_00355	CDS	984	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
IEKICEID_00356	CDS	924				hypothetical protein
IEKICEID_00357	CDS	2865				hypothetical protein
IEKICEID_00358	CDS	1488				hypothetical protein
IEKICEID_00359	CDS	270				hypothetical protein
IEKICEID_00360	CDS	414				hypothetical protein
IEKICEID_00361	CDS	417	psiE_1		COG3223	Protein PsiE
IEKICEID_00362	CDS	1554	abgT_1		COG2978	p-aminobenzoyl-glutamate transport protein
IEKICEID_00363	CDS	1233	pepT_1	3.4.11.4	COG2195	Peptidase T
IEKICEID_00364	CDS	687	uvrY		COG2197	Response regulator UvrY
IEKICEID_00365	CDS	1833	uvrC		COG0322	UvrABC system protein C
IEKICEID_00366	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IEKICEID_00367	tRNA	76				tRNA-Gly(gcc)
IEKICEID_00368	tRNA	74				tRNA-Cys(gca)
IEKICEID_00369	tRNA	87				tRNA-Leu(taa)
IEKICEID_00370	tRNA	87				tRNA-Leu(taa)
IEKICEID_00371	CDS	153				hypothetical protein
IEKICEID_00372	CDS	561				hypothetical protein
IEKICEID_00373	CDS	315				hypothetical protein
IEKICEID_00374	CDS	1206	fabV	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH]
IEKICEID_00375	CDS	558				hypothetical protein
IEKICEID_00376	CDS	1206	cinA			Putative competence-damage inducible protein
IEKICEID_00377	CDS	774				hypothetical protein
IEKICEID_00378	CDS	432				hypothetical protein
IEKICEID_00379	CDS	426	uspF_2		COG0589	Universal stress protein F
IEKICEID_00380	CDS	207				hypothetical protein
IEKICEID_00381	CDS	771	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
IEKICEID_00382	CDS	432	ahpD	1.11.1.15		Alkyl hydroperoxide reductase AhpD
IEKICEID_00383	CDS	1488	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
IEKICEID_00384	CDS	1287	gltP_1		COG1301	Proton/glutamate-aspartate symporter
IEKICEID_00385	CDS	885	yjiE_1			HTH-type transcriptional regulator YjiE
IEKICEID_00386	CDS	729		5.1.1.13	COG1794	Aspartate racemase
IEKICEID_00387	CDS	945				hypothetical protein
IEKICEID_00388	CDS	744				hypothetical protein
IEKICEID_00389	CDS	1209		1.6.-.-		NADH dehydrogenase-like protein
IEKICEID_00390	CDS	543	nsrR_1			HTH-type transcriptional repressor NsrR
IEKICEID_00391	CDS	483				hypothetical protein
IEKICEID_00392	CDS	807				hypothetical protein
IEKICEID_00393	CDS	1257	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
IEKICEID_00394	CDS	288				hypothetical protein
