locus_tag	ftype	length_bp	gene	EC_number	COG	product
MPKLEMIK_00133	CDS	1593	carA_1	2.8.3.23	COG4670	Caffeate CoA-transferase
MPKLEMIK_00134	CDS	1557	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MPKLEMIK_00135	CDS	390				hypothetical protein
MPKLEMIK_00136	CDS	1335	fucP_1		COG0738	L-fucose-proton symporter
MPKLEMIK_00137	CDS	942	rbsK_1	2.7.1.15	COG0524	Ribokinase
MPKLEMIK_00138	CDS	690	alsE_1	5.1.3.-	COG0036	D-allulose-6-phosphate 3-epimerase
MPKLEMIK_00139	CDS	801	srlR_1		COG1349	Glucitol operon repressor
MPKLEMIK_00140	CDS	714	deoC_1	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
MPKLEMIK_00141	CDS	1506	xylB_1	2.7.1.17	COG1070	Xylulose kinase
MPKLEMIK_00142	CDS	774	glcR_2		COG1349	HTH-type transcriptional repressor GlcR
MPKLEMIK_00143	CDS	930	rhaS_2			HTH-type transcriptional activator RhaS
MPKLEMIK_00144	CDS	240				hypothetical protein
MPKLEMIK_00145	CDS	915			COG1073	putative protein
MPKLEMIK_00146	CDS	372				hypothetical protein
MPKLEMIK_00147	CDS	981	rhaS_3			HTH-type transcriptional activator RhaS
MPKLEMIK_00148	CDS	1011	gap_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
MPKLEMIK_00149	CDS	567	pgrR_1			HTH-type transcriptional regulator PgrR
MPKLEMIK_00150	CDS	519				hypothetical protein
MPKLEMIK_00151	CDS	1251	dctD			C4-dicarboxylate transport transcriptional regulatory protein DctD
MPKLEMIK_00152	CDS	1995	pgtB	2.7.13.3	COG4192	Phosphoglycerate transport system sensor protein PgtB
MPKLEMIK_00153	CDS	1221	pgtC		COG1840	Phosphoglycerate transport regulatory protein PgtC
MPKLEMIK_00154	CDS	1392	pgtP		COG2271	Phosphoglycerate transporter protein
MPKLEMIK_00155	CDS	450	kbp		COG1652	Potassium binding protein Kbp
MPKLEMIK_00156	CDS	621	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
MPKLEMIK_00157	CDS	1107	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
MPKLEMIK_00158	CDS	312	manP		COG1299	PTS system mannose-specific EIIBCA component
MPKLEMIK_00159	CDS	471	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
MPKLEMIK_00160	CDS	681	alsE_2	5.1.3.-	COG0036	D-allulose-6-phosphate 3-epimerase
MPKLEMIK_00161	CDS	1263	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
MPKLEMIK_00162	CDS	267	ulaB_1	2.7.1.194		Ascorbate-specific PTS system EIIB component
MPKLEMIK_00163	CDS	438	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
MPKLEMIK_00164	CDS	1059	gntR_1			HTH-type transcriptional regulator GntR
MPKLEMIK_00165	CDS	1299	oxlT			Oxalate:formate antiporter
MPKLEMIK_00166	CDS	537				hypothetical protein
MPKLEMIK_00167	CDS	579	betI_1			HTH-type transcriptional regulator BetI
MPKLEMIK_00168	CDS	1101				hypothetical protein
MPKLEMIK_00169	CDS	915				hypothetical protein
MPKLEMIK_00170	CDS	1233	yjhB			Putative metabolite transport protein YjhB
MPKLEMIK_00171	CDS	1608				hypothetical protein
MPKLEMIK_00172	CDS	1101	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
MPKLEMIK_00173	CDS	534				hypothetical protein
MPKLEMIK_00174	CDS	897	dmlR_1			HTH-type transcriptional regulator DmlR
MPKLEMIK_00175	CDS	978		1.6.5.11	COG2070	NADH:quinone reductase
MPKLEMIK_00176	CDS	1260	amaB_1	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
MPKLEMIK_00177	CDS	1242	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
MPKLEMIK_00178	CDS	738	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MPKLEMIK_00179	CDS	657	yecS_1		COG0765	L-cystine transport system permease protein YecS
MPKLEMIK_00180	CDS	666				hypothetical protein
MPKLEMIK_00181	CDS	786	fliY_1		COG0834	L-cystine-binding protein FliY
MPKLEMIK_00182	CDS	840				hypothetical protein
MPKLEMIK_00183	CDS	1587	hpxW	3.5.1.126	COG0405	Oxamate amidohydrolase proenzyme
MPKLEMIK_00184	CDS	186				hypothetical protein
MPKLEMIK_00185	CDS	1398	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
MPKLEMIK_00186	CDS	387				hypothetical protein
MPKLEMIK_00187	CDS	423	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
MPKLEMIK_00188	CDS	1119	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
MPKLEMIK_00189	CDS	558				hypothetical protein
MPKLEMIK_00190	CDS	1044	emrA_1			Colistin resistance protein EmrA
MPKLEMIK_00191	CDS	1563	emrB_1			Colistin resistance protein EmrB
MPKLEMIK_00192	CDS	1275	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MPKLEMIK_00193	CDS	411				hypothetical protein
MPKLEMIK_00194	CDS	900				hypothetical protein
MPKLEMIK_00195	CDS	504	resA			Thiol-disulfide oxidoreductase ResA
MPKLEMIK_00196	CDS	612				hypothetical protein
MPKLEMIK_00197	CDS	2010	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
MPKLEMIK_00198	CDS	360				hypothetical protein
MPKLEMIK_00199	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
MPKLEMIK_00200	CDS	729	glvR		COG1737	HTH-type transcriptional regulator GlvR
MPKLEMIK_00201	CDS	312				hypothetical protein
MPKLEMIK_00202	CDS	660				hypothetical protein
MPKLEMIK_00203	CDS	984	ygfZ		COG0354	tRNA-modifying protein YgfZ
MPKLEMIK_00204	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
MPKLEMIK_00205	CDS	411	ygfX			Inner membrane protein YgfX
MPKLEMIK_00206	CDS	522	fldB		COG0716	Flavodoxin 2
MPKLEMIK_00207	CDS	897	xerD		COG4974	Tyrosine recombinase XerD
MPKLEMIK_00208	CDS	714	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
MPKLEMIK_00209	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
MPKLEMIK_00210	CDS	963	prfB		COG1186	Peptide chain release factor RF2
MPKLEMIK_00211	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
MPKLEMIK_00212	CDS	555	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
MPKLEMIK_00213	CDS	714	nlpD_1		COG0739	Murein hydrolase activator NlpD
MPKLEMIK_00214	tRNA	74				tRNA-Gly(ccc)
MPKLEMIK_00215	CDS	1389	ribZ_1			Riboflavin transporter RibZ
MPKLEMIK_00216	CDS	930	nodD2_1			Nodulation protein D 2
MPKLEMIK_00217	CDS	804				hypothetical protein
MPKLEMIK_00218	CDS	1020	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
MPKLEMIK_00219	CDS	558	kefF_1	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
MPKLEMIK_00220	CDS	309				hypothetical protein
MPKLEMIK_00221	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
MPKLEMIK_00222	CDS	276				hypothetical protein
MPKLEMIK_00223	CDS	573				hypothetical protein
MPKLEMIK_00224	CDS	330				hypothetical protein
MPKLEMIK_00225	CDS	1293	arsB_1		COG1055	Arsenical pump membrane protein
MPKLEMIK_00226	CDS	423	arsC_1	1.20.4.1		Arsenate reductase
MPKLEMIK_00227	CDS	1554	dtpT		COG3104	Di-/tripeptide transporter
MPKLEMIK_00228	CDS	300				hypothetical protein
MPKLEMIK_00229	CDS	1449	cusC_1		COG1538	Cation efflux system protein CusC
MPKLEMIK_00230	CDS	1938	mdtO		COG1289	Multidrug resistance protein MdtO
MPKLEMIK_00231	CDS	1026	mdtN		COG1566	Multidrug resistance protein MdtN
MPKLEMIK_00232	CDS	273				hypothetical protein
MPKLEMIK_00233	CDS	231				hypothetical protein
MPKLEMIK_00234	CDS	273	yjdJ		COG2388	putative protein YjdJ
MPKLEMIK_00235	CDS	1413				hypothetical protein
MPKLEMIK_00236	CDS	906	fimH			Type 1 fimbrin D-mannose specific adhesin
MPKLEMIK_00237	CDS	501	fimG			Protein FimG
MPKLEMIK_00238	CDS	528	fimF			Protein FimF
MPKLEMIK_00239	CDS	2613	fimD_2		COG3188	Outer membrane usher protein FimD
MPKLEMIK_00240	CDS	705	fimC			Chaperone protein FimC
MPKLEMIK_00241	CDS	537	lpfA_1			putative major fimbrial subunit LpfA
MPKLEMIK_00242	CDS	549	fim			Fimbrial subunit type 1
MPKLEMIK_00243	CDS	609				ISKra4 family transposase ISCep1
MPKLEMIK_00244	CDS	606				ISKra4 family transposase ISCep1
MPKLEMIK_00245	CDS	957				hypothetical protein
MPKLEMIK_00246	CDS	507				hypothetical protein
MPKLEMIK_00247	CDS	897				hypothetical protein
MPKLEMIK_00248	CDS	210				hypothetical protein
MPKLEMIK_00249	CDS	609				hypothetical protein
MPKLEMIK_00250	CDS	702	yadV_1			putative fimbrial chaperone YadV
MPKLEMIK_00251	CDS	2487	htrE_1		COG3188	Outer membrane usher protein HtrE
MPKLEMIK_00252	CDS	996	mrkD			Fimbria adhesin protein
MPKLEMIK_00253	CDS	636				hypothetical protein
MPKLEMIK_00254	CDS	717	pdeH_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
MPKLEMIK_00255	CDS	573				hypothetical protein
MPKLEMIK_00256	CDS	705	ycgR			Flagellar brake protein YcgR
MPKLEMIK_00257	CDS	879	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
MPKLEMIK_00258	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
MPKLEMIK_00259	CDS	462				hypothetical protein
MPKLEMIK_00260	CDS	870	gltC_1			HTH-type transcriptional regulator GltC
MPKLEMIK_00261	CDS	1179	thlA_2	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
MPKLEMIK_00262	CDS	696	kdgM			Oligogalacturonate-specific porin KdgM
MPKLEMIK_00263	CDS	1176	ogl	4.2.2.6	COG0823	Oligogalacturonate lyase
MPKLEMIK_00264	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
MPKLEMIK_00265	CDS	1422	araE			Arabinose-proton symporter
MPKLEMIK_00266	CDS	996	ccpA_1		COG1609	Catabolite control protein A
MPKLEMIK_00267	CDS	1242	cscB			Sucrose permease
MPKLEMIK_00268	CDS	1437	sacA	3.2.1.26		Sucrose-6-phosphate hydrolase
MPKLEMIK_00269	CDS	1344				hypothetical protein
MPKLEMIK_00270	CDS	1287	yesO		COG1653	Putative ABC transporter substrate-binding protein YesO
MPKLEMIK_00271	CDS	1128	msiK_1	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
MPKLEMIK_00272	CDS	903	dasC		COG0395	Diacetylchitobiose uptake system permease protein DasC
MPKLEMIK_00273	CDS	891	lacF			Lactose transport system permease protein LacF
MPKLEMIK_00274	CDS	327				hypothetical protein
MPKLEMIK_00275	CDS	714	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
MPKLEMIK_00276	CDS	927	occR			Octopine catabolism/uptake operon regulatory protein OccR
MPKLEMIK_00277	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
MPKLEMIK_00278	CDS	1011	ascG_1		COG1609	HTH-type transcriptional regulator AscG
MPKLEMIK_00279	CDS	1338	licC_1		COG1455	Lichenan permease IIC component
MPKLEMIK_00280	CDS	1428	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
MPKLEMIK_00281	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
MPKLEMIK_00282	CDS	480				hypothetical protein
MPKLEMIK_00283	CDS	1017	galR_1		COG1609	HTH-type transcriptional regulator GalR
MPKLEMIK_00284	CDS	2160	aas		COG0204	Bifunctional protein Aas
MPKLEMIK_00285	CDS	1194	lplT			Lysophospholipid transporter LplT
MPKLEMIK_00286	CDS	1041	tas		COG0667	Protein tas
MPKLEMIK_00287	CDS	219	ygdR_1			putative lipoprotein YgdR
MPKLEMIK_00288	CDS	714				hypothetical protein
MPKLEMIK_00289	CDS	696	mutH		COG3066	DNA mismatch repair protein MutH
MPKLEMIK_00290	CDS	531	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
MPKLEMIK_00291	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
MPKLEMIK_00292	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MPKLEMIK_00293	CDS	795	thyA_1	2.1.1.45	COG0207	Thymidylate synthase
MPKLEMIK_00294	CDS	552				hypothetical protein
MPKLEMIK_00295	CDS	558				hypothetical protein
MPKLEMIK_00296	CDS	408				hypothetical protein
MPKLEMIK_00297	CDS	324				hypothetical protein
MPKLEMIK_00298	CDS	3378	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
MPKLEMIK_00299	CDS	2886	ptrA	3.4.24.55	COG1025	Protease 3
MPKLEMIK_00300	CDS	3537	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
MPKLEMIK_00301	CDS	1845	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
MPKLEMIK_00302	CDS	321				hypothetical protein
MPKLEMIK_00303	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
MPKLEMIK_00304	CDS	1254	amiC_2	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
MPKLEMIK_00305	CDS	1077	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
MPKLEMIK_00306	CDS	903	pduX	2.7.1.177	COG4542	L-threonine kinase
MPKLEMIK_00307	CDS	1215	pduW	2.7.2.15	COG0282	putative propionate kinase
MPKLEMIK_00308	CDS	441	pduV		COG4917	Propanediol utilization protein PduV
MPKLEMIK_00309	CDS	351	pduU		COG4810	Propanediol utilization protein PduU
MPKLEMIK_00310	CDS	555				hypothetical protein
MPKLEMIK_00311	CDS	1353	rsxC_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
MPKLEMIK_00312	CDS	1113	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
MPKLEMIK_00313	CDS	1389	astD_1	1.2.1.71		N-succinylglutamate 5-semialdehyde dehydrogenase
MPKLEMIK_00314	CDS	1017				hypothetical protein
MPKLEMIK_00315	CDS	276	ccmL_1			Carbon dioxide concentrating mechanism protein CcmL
MPKLEMIK_00316	CDS	492				hypothetical protein
MPKLEMIK_00317	CDS	633	pduL_1	2.3.1.222	COG4869	Phosphate propanoyltransferase
MPKLEMIK_00318	CDS	447				hypothetical protein
MPKLEMIK_00319	CDS	276	pduA_1		COG4577	Propanediol utilization protein PduA
MPKLEMIK_00320	CDS	351				hypothetical protein
MPKLEMIK_00321	CDS	1833	ddrA_1			Diol dehydratase-reactivating factor alpha subunit
MPKLEMIK_00322	CDS	525	pduE_1	4.2.1.28	COG4910	Propanediol dehydratase small subunit
MPKLEMIK_00323	CDS	690	pduD_1	4.2.1.28		Propanediol dehydratase medium subunit
MPKLEMIK_00324	CDS	1665	pduC	4.2.1.28	COG4909	Propanediol dehydratase large subunit
MPKLEMIK_00325	CDS	813	pduB		COG4816	Propanediol utilization protein PduB
MPKLEMIK_00326	CDS	285	pduA_2		COG4577	Propanediol utilization protein PduA
MPKLEMIK_00327	CDS	810	pduF		COG0580	Propanediol diffusion facilitator
MPKLEMIK_00328	CDS	912	rhaS_4			HTH-type transcriptional activator RhaS
MPKLEMIK_00329	CDS	1377	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
MPKLEMIK_00330	CDS	960	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
MPKLEMIK_00331	CDS	636	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
MPKLEMIK_00332	CDS	1140	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
MPKLEMIK_00333	CDS	606	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
MPKLEMIK_00334	CDS	570	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
MPKLEMIK_00335	CDS	774	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
MPKLEMIK_00336	CDS	1056	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
MPKLEMIK_00337	CDS	726	cbiH	2.1.1.-	COG1010	putative cobalt-factor III C(17)-methyltransferase
MPKLEMIK_00338	CDS	786	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
MPKLEMIK_00339	CDS	795	cbiK	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase
